title,description,category,priority,days_until_due,due_date
Create onboarding guide for admin dashboard,New engineers need clearer docs on how backend API works. Can be picked up next quarter.,Documentation,LOW,22,2026-09-04
Create reporting integration with mobile app,Design has finalized mockups for the checkout feature in search service.,Feature Development,MEDIUM,7,2026-08-20
Implement dark mode for payments service,Customer requested user profile functionality for user service.,Feature Development,MEDIUM,4,2026-08-17
Add support for export in auth service,New requirement from sales: React frontend needs user profile capability.,Feature Development,MEDIUM,12,2026-08-25
Evaluate authentication libraries for admin dashboard,Team needs a recommendation on search approach for payments service.,Research,MEDIUM,10,2026-08-23
Provision new upload environment,Need to migrate reporting engine off legacy infrastructure this quarter. Can be picked up next quarter.,DevOps/Infrastructure,LOW,60,2026-10-12
Configure autoscaling for payments service,billing module deploys are manual and error-prone; automate with CI/CD. Important for the client demo next week.,DevOps/Infrastructure,HIGH,3,2026-08-16
Schedule sprint planning for user service,"Book time with backend API team to discuss search plan. Nice to have, low priority.",Meeting/Admin,LOW,22,2026-09-04
Set up monitoring for backend API service,"Ops wants alerting configured for backend API before it handles more traffic. No rush, whenever you get a chance.",DevOps/Infrastructure,LOW,18,2026-08-31
Evaluate session libraries for reporting engine,"Unclear why admin dashboard is slow under authentication; needs investigation. Someday/maybe, not time sensitive.",Research,LOW,24,2026-09-06
Add integration tests for user profile flow,Coverage on payments service is below target; add tests before release. Can be picked up next quarter.,Testing,LOW,60,2026-10-12
Design UI mockups for React frontend,"Current chat UI feels dated, redesign requested by stakeholders. Nice to have, low priority.",Design,LOW,24,2026-09-06
Design icon set for React frontend,Need updated mockups for React frontend before dev starts.,Design,MEDIUM,11,2026-08-24
Set up CI/CD pipeline for React frontend,"mobile app deploys are manual and error-prone; automate with CI/CD. No rush, whenever you get a chance.",DevOps/Infrastructure,LOW,19,2026-09-01
Add support for reporting in backend API,"New requirement from sales: search service needs OAuth token capability. No rush, whenever you get a chance.",Feature Development,LOW,56,2026-10-08
Build new user service onboarding flow,"Product wants analytics support added to the backend API module this quarter. Nice to have, low priority.",Feature Development,LOW,42,2026-09-24
Patch memory leak in backend API service,Users report billing fails intermittently after the latest deploy to React frontend. Can be picked up next quarter.,Bug Fix,LOW,57,2026-10-09
Fix crash when billing on admin dashboard,Users report session fails intermittently after the latest deploy to billing module.,Bug Fix,MEDIUM,7,2026-08-20
Clean up unused analytics in admin dashboard,"auth service dependencies are several versions behind and need upgrading. Needed before end of sprint, please prioritize.",Maintenance,HIGH,5,2026-08-18
Set up retro for billing module team,"Book time with user service team to discuss payment plan. Needed before end of sprint, please prioritize.",Meeting/Admin,HIGH,3,2026-08-16
Design icon set for React frontend,"Current OAuth token UI feels dated, redesign requested by stakeholders. This is a P0 blocker for the launch tomorrow.",Design,URGENT,-1,2026-08-12
Prepare slides for admin dashboard review,"Book time with notification service team to discuss checkout plan. No rush, whenever you get a chance.",Meeting/Admin,LOW,16,2026-08-29
Redesign payments service settings page,"Current SSO UI feels dated, redesign requested by stakeholders.",Design,MEDIUM,9,2026-08-22
Add integration tests for checkout flow,"The payment flow has no automated tests, causing repeat regressions.",Testing,MEDIUM,7,2026-08-20
Refactor legacy payments service code,"Tech debt in backend API is slowing down feature work, needs refactor.",Maintenance,MEDIUM,7,2026-08-20
Update reporting engine to latest framework version,"Tech debt in notification service is slowing down feature work, needs refactor.",Maintenance,MEDIUM,6,2026-08-19
Redesign billing module settings page,Create a design spec for the new billing module experience. This is high priority for the upcoming release.,Design,HIGH,3,2026-08-16
Write E2E tests for session checkout,"The authentication flow has no automated tests, causing repeat regressions.",Testing,MEDIUM,8,2026-08-21
Set up CI/CD pipeline for search service,Need to migrate backend API off legacy infrastructure this quarter.,DevOps/Infrastructure,MEDIUM,10,2026-08-23
Audit React frontend for security issues,Pen test found an exposed authentication in the payments service API. This is high priority for the upcoming release.,Security,HIGH,1,2026-08-14
Patch chat vulnerability in mobile app,Pen test found an exposed checkout in the backend API API.,Security,MEDIUM,14,2026-08-27
Design UI mockups for checkout flow,Need updated mockups for notification service before dev starts. This is blocking the release and needs to be fixed ASAP.,Design,URGENT,-2,2026-08-11
Set up retro for checkout flow team,Book time with payments service team to discuss mobile plan. Important for the client demo next week.,Meeting/Admin,HIGH,4,2026-08-17
Research export options for reporting engine,Team needs a recommendation on search approach for auth service. This is a P0 blocker for the launch tomorrow.,Research,URGENT,0,2026-08-13
Increase test coverage on admin dashboard,QA wants automated E2E coverage for checkout before launch. This is high priority for the upcoming release.,Testing,HIGH,1,2026-08-14
Update README for mobile app service,"API consumers are confused about backend API usage, needs docs. Customer-facing outage, top priority.",Documentation,URGENT,-2,2026-08-11
Build new mobile app onboarding flow,New requirement from sales: reporting engine needs OAuth token capability. Can be picked up next quarter.,Feature Development,LOW,55,2026-10-07
Audit auth service for security issues,Compliance requires rotating reporting used by backend API this month.,Security,MEDIUM,3,2026-08-16
Schedule sprint planning for search service,Book time with payments service team to discuss payment plan.,Meeting/Admin,MEDIUM,11,2026-08-24
Fix broken analytics button on reporting engine page,"Regression introduced by last sprint's changes to backend API; needs a hotfix. No rush, whenever you get a chance.",Bug Fix,LOW,17,2026-08-30
Resolve data corruption in auth service,Stack trace shows a user profile exception thrown from the reporting engine handler. This is a P0 blocker for the launch tomorrow.,Bug Fix,URGENT,-2,2026-08-11
Address null pointer exception in payments service,Users report session fails intermittently after the latest deploy to notification service.,Bug Fix,MEDIUM,11,2026-08-24
Audit React frontend for security issues,Compliance requires rotating user profile used by auth service this month.,Security,MEDIUM,4,2026-08-17
Increase test coverage on checkout flow,QA wants automated E2E coverage for session before launch. Can be picked up next quarter.,Testing,LOW,36,2026-09-18
Increase test coverage on checkout flow,"The search flow has no automated tests, causing repeat regressions.",Testing,MEDIUM,4,2026-08-17
Fix crash when authentication on search service,Users report export fails intermittently after the latest deploy to backend API.,Bug Fix,MEDIUM,9,2026-08-22
Upgrade billing module dependencies,"Tech debt in search service is slowing down feature work, needs refactor.",Maintenance,MEDIUM,3,2026-08-16
Write E2E tests for chat checkout,"QA wants automated E2E coverage for export before launch. Nice to have, low priority.",Testing,LOW,56,2026-10-08
Add regression tests for admin dashboard,"The upload flow has no automated tests, causing repeat regressions. Can be picked up next quarter.",Testing,LOW,28,2026-09-10
Fix crash when authentication on search service,QA found this reproducible on payments service under authentication load. This is high priority for the upcoming release.,Bug Fix,HIGH,2,2026-08-15
